"Working_Year","Designation","Experience","Employment_Status","Salary_In_SGD","Company_Location","Company_Size","Remote_Working_Ratio"
2022,"Data Analyst","SE","FT",129984.736,"US","M",100
2022,"Data Analyst","SE","FT",108087.216,"US","M",100
2022,"Data Scientist","SE","FT",173932.56,"US","M",100
2022,"Data Scientist","SE","FT",126496.416,"US","M",100
2022,"Data Scientist","SE","FT",149958.592,"GB","M",0
2022,"Data Scientist","SE","FT",133297.376,"GB","M",0
2022,"Data Scientist","SE","FT",185874.352,"US","M",100
2022,"Data Scientist","SE","FT",156592.784,"US","M",100
2022,"Data Engineer","EN","FT",66648.688,"GB","M",100
2022,"Data Analyst","SE","FT",126038.096,"US","M",0
2022,"Data Analyst","SE","FT",147680.992,"US","M",0
2022,"Data Analyst","MI","FT",135280.88,"US","M",0
2022,"Data Analyst","MI","FT",161048.672,"US","M",0
2022,"Data Scientist","MI","FT",83309.904,"GB","M",0
2022,"Data Scientist","MI","FT",49986.192,"GB","M",0
2022,"Data Engineer","MI","FT",99972.4,"GB","M",0
2022,"Data Engineer","MI","FT",66648.688,"GB","M",0
2022,"Data Scientist","SE","FT",210343.568,"US","M",100
2022,"Data Engineer","EN","FT",58317.44,"GB","M",100
2022,"Data Scientist","SE","FT",152977.136,"US","M",100
2022,"Data Analyst","SE","FT",114987.472,"US","M",100
2022,"Data Engineer","SE","FT",231630,"US","M",0
2022,"Data Engineer","SE","FT",168458.176,"US","M",0
2022,"Data Engineer","SE","FT",280224.688,"US","M",0
2022,"Data Engineer","SE","FT",203799.776,"US","M",0
2022,"Data Scientist","SE","FT",229160.16,"US","L",0
2022,"Data Scientist","SE","FT",152773.44,"US","L",0
2022,"Data Analyst","SE","FT",158107.776,"US","M",100
2022,"Data Analyst","SE","FT",216429.04,"US","M",100
2022,"Data Analyst","MI","FT",147044.432,"US","M",100
2022,"Data Analyst","SE","FT",143734.352,"US","M",100
2022,"Data Analyst","SE","FT",114987.472,"US","M",100
2022,"Data Analyst","SE","FT",143734.352,"US","M",100
2022,"Data Analyst","SE","FT",114987.472,"US","M",100
2022,"Data Engineer","SE","FT",210572.72,"US","M",100
2022,"Data Engineer","SE","FT",168458.176,"US","M",100
2022,"Data Analyst","MI","FT",212609.712,"US","M",100
2022,"Data Analyst","SE","FT",173907.104,"US","M",100
2022,"Data Analyst","SE","FT",139125.68,"US","M",100
2022,"Data Engineer","SE","FT",164072.304,"US","M",100
2022,"Data Engineer","SE","FT",119290.592,"US","M",100
2022,"Data Engineer","SE","FT",199369.344,"US","M",100
2022,"Data Engineer","SE","FT",138514.592,"US","M",0
2022,"Data Scientist","SE","FT",121645.856,"US","M",0
2022,"Data Engineer","SE","FT",143861.664,"US","L",0
2022,"Data Analyst","SE","FT",171870.128,"US","M",100
2022,"Data Scientist","SE","FT",212609.712,"US","M",100
2022,"Data Scientist","SE","FT",156592.784,"US","M",100
2022,"Data Engineer","SE","FT",99972.4,"GB","M",0
2022,"Data Engineer","SE","FT",83309.904,"GB","M",0
2022,"Data Scientist","SE","FT",190966.8,"US","M",0
2022,"Data Scientist","SE","FT",269263.184,"US","M",100
2022,"Data Analyst","SE","FT",165504.56,"CA","M",100
2022,"Data Analyst","SE","FT",78041.76,"CA","M",100
2022,"Data Analyst","SE","FT",165504.56,"CA","M",100
2022,"Data Analyst","SE","FT",78041.76,"CA","M",100
2022,"Data Engineer","SE","FT",203697.92,"US","L",0
2022,"Data Scientist","SE","FT",176453.328,"US","M",100
2022,"Data Engineer","SE","FT",173143.232,"US","M",0
2022,"Data Analyst","MI","FT",73840.496,"US","S",0
2022,"Data Scientist","SE","FT",216429.04,"US","M",100
2022,"Data Scientist","SE","FT",156592.784,"US","M",100
2022,"Machine Learning Engineer","SE","FT",241445.696,"US","M",0
2022,"Machine Learning Engineer","SE","FT",210058.384,"US","M",0
2022,"Data Analyst","SE","FT",168050.784,"US","M",0
2022,"Data Engineer","SE","FT",210572.72,"US","M",100
2022,"Data Engineer","SE","FT",174408.704,"US","M",100
2022,"Data Engineer","SE","FT",129309.984,"US","M",100
2022,"Data Analyst","SE","FT",164072.304,"US","M",100
2022,"Data Analyst","SE","FT",119290.592,"US","M",100
2022,"Data Engineer","SE","FT",168458.176,"US","M",100
2022,"Machine Learning Engineer","EN","FT",47487.072,"GB","L",100
2022,"Data Analyst","SE","FT",208790.368,"US","M",0
2022,"Data Engineer","SE","FT",197332.368,"US","M",100
2022,"Machine Learning Engineer","MI","FT",158289.84,"GB","M",0
2022,"Machine Learning Engineer","MI","FT",124966.128,"GB","M",0
2022,"Data Analyst","SE","FT",143734.352,"US","M",100
2022,"Data Analyst","SE","FT",114987.472,"US","M",100
2022,"Machine Learning Engineer","MI","FT",111947.28,"DE","M",100
2022,"Data Engineer","MI","FT",149958.592,"GB","M",0
2022,"Data Scientist","SE","FT",274101.008,"US","L",100
2022,"Data Scientist","SE","FT",201406.32,"US","L",100
2022,"Data Engineer","SE","FT",266207.712,"US","L",100
2022,"Data Engineer","SE","FT",196823.12,"US","L",100
2022,"Data Analyst","SE","FT",147596.96,"US","M",0
2022,"Data Analyst","SE","FT",103969.968,"US","M",0
2022,"Data Engineer","SE","FT",222794.608,"US","M",100
2022,"Data Engineer","MI","FT",124966.128,"GB","M",0
2022,"Data Analyst","MI","FT",73840.496,"US","S",0
2022,"Data Engineer","SE","FT",233743.36,"US","L",100
2022,"Data Analyst","MI","FT",66648.688,"GB","M",100
2022,"Data Scientist","SE","FT",229160.16,"US","M",100
2022,"Data Scientist","MI","FT",91641.152,"GB","M",0
2022,"Data Scientist","MI","FT",58317.44,"GB","M",0
2022,"Data Engineer","MI","FT",83960.464,"GR","M",100
2022,"Data Engineer","MI","FT",62969.392,"GR","M",100
2022,"Data Engineer","MI","FT",99972.4,"GB","M",100
2022,"Data Engineer","MI","FT",74978.656,"GB","M",100
2022,"Data Engineer","MI","FT",81351.856,"US","M",0
2022,"Data Scientist","SE","FT",229160.16,"US","M",0
2022,"Data Scientist","SE","FT",101848.96,"US","M",0
2022,"Data Engineer","MI","FT",105540.992,"US","M",0
2022,"Data Engineer","SE","FT",128329.696,"US","L",100
2022,"Data Engineer","MI","FT",62969.392,"ES","M",100
2022,"Data Scientist","SE","FT",178744.928,"US","L",0
2022,"Data Analyst","MI","FT",49986.192,"GB","M",100
2022,"Data Analyst","MI","FT",55973.648,"ES","M",100
2022,"Data Analyst","MI","FT",41979.6,"ES","M",100
2022,"Data Engineer","MI","FT",111947.28,"ES","M",100
2022,"Data Engineer","MI","FT",97953.232,"ES","M",100
2022,"Data Engineer","MI","FT",133297.376,"GB","M",100
2022,"Data Engineer","MI","FT",116634.88,"GB","M",100
2022,"Data Engineer","MI","FT",83960.464,"ES","M",100
2022,"Data Engineer","MI","FT",111947.28,"GR","M",100
2022,"Machine Learning Engineer","SE","FT",241445.696,"US","M",0
2022,"Machine Learning Engineer","SE","FT",210058.384,"US","M",0
2022,"Data Analyst","MI","FT",55973.648,"GR","M",100
2022,"Data Analyst","MI","FT",41979.6,"GR","M",100
2022,"Data Engineer","MI","FT",124966.128,"GB","M",100
2022,"Data Engineer","MI","FT",99972.4,"GB","M",100
2022,"Data Scientist","SE","FT",274101.008,"US","L",0
2022,"Data Engineer","MI","FT",97953.232,"GR","M",100
2022,"Data Engineer","SE","FT",266207.712,"US","L",100
2022,"Data Engineer","SE","FT",196823.12,"US","L",100
2022,"Data Engineer","SE","FT",229160.16,"US","M",100
2022,"Data Engineer","SE","FT",101848.96,"US","M",100
2022,"Machine Learning Engineer","MI","FT",152773.44,"US","S",100
2022,"Data Engineer","SE","FT",133676.768,"US","M",100
2022,"Data Scientist","MI","FT",40249.44,"IN","L",100
2022,"Data Scientist","EN","FT",23478.736,"IN","M",100
2022,"Data Engineer","EN","FT",152773.44,"US","M",100
2022,"Data Scientist","SE","FT",133536.72,"US","M",100
2022,"Data Engineer","SE","FT",127311.2,"US","M",100
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Analyst","MI","FT",171870.128,"US","M",100
2022,"Data Analyst","MI","FT",63655.6,"US","M",100
2022,"Data Scientist","SE","FT",280084.64,"US","M",100
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Scientist","MI","FT",233269.76,"GB","M",0
2022,"Data Scientist","MI","FT",116634.88,"GB","M",0
2022,"Data Scientist","SE","FT",235653.024,"US","M",100
2022,"Machine Learning Engineer","SE","FT",280084.64,"US","M",100
2022,"Data Scientist","MI","FT",254622.4,"US","M",100
2022,"Data Scientist","MI","FT",152773.44,"US","M",100
2022,"Machine Learning Engineer","SE","FT",152773.44,"AE","S",100
2022,"Machine Learning Engineer","SE","FT",82752.288,"AE","S",100
2022,"Data Engineer","SE","FT",267353.52,"US","M",100
2022,"Machine Learning Engineer","SE","FT",152773.44,"US","M",100
2022,"Data Scientist","SE","FT",292815.76,"US","M",100
2022,"Data Scientist","MI","FT",45310.064,"PL","L",100
2022,"Data Scientist","SE","FT",127311.2,"US","M",100
2022,"Data Engineer","EN","FT",73885.056,"DE","M",100
2022,"Data Scientist","SE","FT",210063.488,"US","M",100
2022,"Data Scientist","EN","FT",66705.984,"CA","L",100
2022,"Machine Learning Engineer","SE","FT",79761.744,"NL","L",100
2022,"Data Scientist","EN","FT",50924.48,"MY","L",100
2022,"Machine Learning Engineer","MI","FT",111301.824,"AU","L",100
2022,"Data Engineer","SE","FT",146407.888,"US","M",100
2022,"Data Scientist","EN","FT",110382.624,"AU","M",50
2022,"Data Engineer","EN","FT",82752.288,"US","S",100
2022,"Machine Learning Engineer","SE","FT",90956.208,"IE","S",100
2022,"Data Scientist","MI","FT",61109.376,"US","S",100
2022,"Data Engineer","MI","FT",86758.768,"FR","M",100
2022,"Data Scientist","MI","FT",155760.16,"CH","L",0
2022,"Data Scientist","MI","FT",88272.496,"CA","M",100
2022,"Data Analyst","MI","FT",25462.24,"GR","S",100
2022,"Data Scientist","MI","FT",171870.128,"US","L",100
2022,"Data Scientist","MI","FT",99302.736,"US","M",100
2022,"Data Analyst","SE","FT",171870.128,"US","M",100
2022,"Data Analyst","SE","FT",127311.2,"US","M",100
2022,"Data Analyst","SE","FT",114987.472,"US","M",100
2022,"Data Analyst","MI","FT",108214.528,"CA","M",0
2022,"Data Analyst","MI","FT",95483.408,"CA","M",0
2022,"Machine Learning Engineer","SE","FT",272445.968,"US","M",100
2022,"Machine Learning Engineer","SE","FT",245201.376,"US","M",100
2022,"Data Analyst","SE","FT",143734.352,"US","M",100
2022,"Data Engineer","SE","FT",197332.368,"US","M",100
2022,"Data Scientist","MI","FT",179890.72,"US","M",0
2022,"Data Scientist","MI","FT",129984.736,"US","M",0
2022,"Data Analyst","SE","FT",147596.96,"US","M",100
2022,"Data Analyst","SE","FT",103969.968,"US","M",100
2022,"Data Engineer","MI","FT",263150.976,"US","M",0
2022,"Data Engineer","MI","FT",126165.392,"US","M",0
2022,"Data Engineer","SE","FT",165504.56,"US","M",100
2022,"Data Engineer","SE","FT",146407.888,"US","M",100
2022,"Data Engineer","SE","FT",140678.88,"US","M",100
2022,"Data Engineer","SE","FT",165504.56,"US","M",100
2022,"Data Analyst","SE","FT",126101.744,"US","M",100
2022,"Data Engineer","SE","FT",203697.92,"US","M",100
2022,"Data Scientist","SE","FT",261369.888,"US","L",0
2022,"Data Scientist","SE","FT",178744.928,"US","L",0
2022,"Data Scientist","SE","FT",224067.712,"US","M",100
2022,"Data Scientist","SE","FT",183328.128,"US","M",100
2022,"Data Engineer","SE","FT",254749.712,"US","M",100
2022,"Data Engineer","SE","FT",203697.92,"US","M",100
2022,"Data Engineer","SE","FT",184601.248,"US","M",100
2022,"Data Engineer","SE","FT",89754.4,"US","M",0
2022,"Data Scientist","SE","FT",261369.888,"US","M",0
2022,"Data Scientist","SE","FT",178744.928,"US","M",0
2022,"Data Engineer","SE","FT",222921.904,"US","M",100
2022,"Data Engineer","SE","FT",178553.952,"US","M",100
2022,"Data Analyst","SE","FT",147871.952,"US","M",100
2022,"Data Engineer","SE","FT",68748.048,"US","M",0
2022,"Data Analyst","SE","FT",216429.04,"US","M",100
2022,"Data Analyst","MI","FT",83309.904,"GB","M",0
2022,"Data Analyst","SE","FT",101848.96,"US","M",100
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Scientist","SE","FT",267353.52,"US","M",100
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Analyst","SE","FT",127311.2,"US","M",100
2022,"Data Analyst","SE","FT",87844.736,"US","M",100
2022,"Data Scientist","SE","FT",267353.52,"US","M",100
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Scientist","SE","FT",267353.52,"US","M",100
2022,"Data Analyst","SE","FT",191062.288,"US","M",100
2022,"Data Engineer","SE","FT",127311.2,"US","M",100
2022,"Data Engineer","SE","FT",31827.808,"US","M",100
2022,"Data Analyst","SE","FT",161048.672,"US","M",100
2022,"Data Analyst","SE","FT",135280.88,"US","M",100
2022,"Data Engineer","SE","FT",280224.688,"US","M",100
2022,"Data Engineer","SE","FT",203799.776,"US","M",100
2022,"Data Analyst","SE","FT",133676.768,"US","M",100
2022,"Data Analyst","SE","FT",141219.952,"US","M",100
2022,"Data Analyst","MI","FT",58317.44,"GB","M",0
2022,"Data Scientist","SE","FT",178235.68,"US","M",100
2022,"Data Analyst","SE","FT",126038.096,"US","M",0
2022,"Data Analyst","SE","FT",76386.72,"US","M",100
2022,"Data Scientist","SE","FT",292815.76,"US","M",100
2022,"Data Scientist","SE","FT",190966.8,"US","M",100
2022,"Data Scientist","SE","FT",267353.52,"US","M",100
2022,"Data Analyst","SE","FT",216429.04,"US","M",100
2022,"Data Scientist","MI","FT",203697.92,"US","M",100
2022,"Data Scientist","MI","FT",165504.56,"US","M",100
2022,"Data Analyst","EN","FT",85298.512,"CA","M",0
2022,"Data Analyst","EN","FT",66201.824,"CA","M",0
2022,"Data Engineer","SE","FT",196059.248,"US","M",100
2022,"Data Engineer","SE","FT",160412.112,"US","M",100
2022,"Data Analyst","SE","FT",164231.456,"US","M",0
2022,"Data Analyst","SE","FT",190966.8,"US","M",100
